"VGC id","Name","Platform","Notes","Cart","Box","Manual","Other","Purchased Price","Purchased Date","Added",
"44165","Metal Gear Rising: Revengeance","PlayStation 3 [EU]","","No","No","No","No","","0000-00-00","2015-04-12 15:06:11",
"45232","Metal Gear Solid - Platinum","PlayStation [EU]","","No","No","No","No","","0000-00-00","2015-04-12 15:06:18",
"79283","Metal Gear Solid 2: Sons of Liberty [NL]","PlayStation 2 [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-12 15:12:10",
"51899","Metal Gear Solid 2: Substance - Ultimate Collector's Edition","PlayStation 2 [EU]","","No","No","No","No","","0000-00-00","2015-04-12 15:07:06",
"15209","Metal Gear Solid 3: Snake Eater [UK]","PlayStation 2 [EU]","","No","No","No","No","","0000-00-00","2015-04-12 15:07:23",
"19624","Metal Gear Solid 3: Subsistence","PlayStation 2 [EU]","","No","No","No","No","","0000-00-00","2015-04-12 15:07:30",
"62649","Metal Gear Solid 4: Guns of the Patriots - 25th Anniversary Edition","PlayStation 3 [EU]","","No","No","No","No","","0000-00-00","2023-07-12 12:37:38",
"44738","Metal Gear Solid 4: Guns of the Patriots - Limited Edition","PlayStation 3 [EU]","","No","No","No","No","","0000-00-00","2015-04-12 15:07:42",
"20004","Metal Gear Solid HD Collection - Limited Edition","PlayStation 3 [EU]","","No","No","No","No","","0000-00-00","2015-04-12 15:08:01",
"55966","Metal Gear Solid V: Ground Zeroes","PlayStation 3 [EU]","","No","No","No","No","","0000-00-00","2015-04-12 15:08:14",
"91030","Metal Gear Solid V: The Phantom Pain - Collector's Edition","PlayStation 4 [EU]","","Yes","Yes","Yes","Yes","99.99","2015-09-01","2015-10-22 17:04:49",
"88667","Metal Gear Solid V: The Phantom Pain - Day One Edition","PlayStation 4 [EU]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2015-08-29 18:18:58",
"48977","Metal Gear Solid: Peace Walker","PlayStation Portable [EU]","","No","No","No","No","","0000-00-00","2023-08-19 07:20:14",
"56036","Metal Gear Solid: Portable Ops","PlayStation Portable [EU]","","No","No","No","No","","0000-00-00","2021-05-12 13:57:42",
"45411","Metal Gear Solid: Special Missions","PlayStation [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-13 14:38:35",
"81670","Metal Slug 3","Xbox Games Store (X360) [EU]","","No","No","No","No","","0000-00-00","2021-08-20 09:19:45",
"41337","Metroid Fusion","Game Boy Advance [EU]","None","Yes","Yes","Yes","No","0.00","0000-00-00","2015-04-12 15:29:41",
"235573","Metroid Prime Remastered","Nintendo Switch [EU]","","No","No","No","No","","0000-00-00","2023-03-15 20:37:55",
"45482","Mirror's Edge","Xbox 360 [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-15 13:22:09",
"88782","Mirror's Edge Catalyst","PlayStation 4 [EU]","","No","No","No","No","","0000-00-00","2021-12-04 13:22:31",
"66998","Misadventures of Tron Bonne, The","PlayStation [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-15 10:13:11",
"32078","Mission: Impossible: Operation Surma","PlayStation 2 [EU]","","No","No","No","No","","0000-00-00","2021-10-25 13:32:29",
"15638","ModNation Racers","PlayStation 3 [EU]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2021-05-11 14:03:14",
"135409","Mortal Kombat: Komplete Edition","PlayStation 3 [EU]","","No","No","No","No","","0000-00-00","2021-10-21 13:55:14",
"45226","MotorStorm","PlayStation 3 [EU]","","No","No","No","No","","0000-00-00","2017-08-11 16:07:00",
"19202","MotorStorm: Apocalypse","PlayStation 3 [EU]","","No","No","No","No","","0000-00-00","2020-09-25 08:01:38",
"47690","MotorStorm: Pacific Rift","PlayStation 3 [EU]","","No","No","No","No","","0000-00-00","2017-08-11 16:07:05",
"158738","Ms. Pac-Man","Sega Master System [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-13 14:22:00",
"60932","Ms. Splosion Man","Xbox Games Store (X360) [EU]","","No","No","No","No","","0000-00-00","2017-01-24 19:13:17",
