Index,Jogo,Consola
462,Prince of Persia Classic,Xbox Games Store (X360) [EU]
463,Prince of Persia Trilogy,PlayStation 2 [EU]
464,Prince of Persia: The Forgotten Sands - Limited Collector’s Edition,Xbox 360 [EU]
465,Princess Peach: Showtime!,Nintendo Switch [EU]
466,Pro Evolution Soccer 3,PlayStation 2 [EU]
467,Pro Evolution Soccer 4,PlayStation 2 [EU]
468,Pro Evolution Soccer 5 [DK][FI][NO][SE],PlayStation 2 [EU]
469,Pro Evolution Soccer 6,PlayStation 2 [EU]
470,Professor Layton and Pandora's Box,Nintendo DS [EU]
471,Professor Layton and the Curious Village,Nintendo DS [EU]
472,Professor Layton and the Lost Future,Nintendo DS [EU]
473,Professor Layton and the Spectre's Call,Nintendo DS [EU]
474,Project Gotham Racing 4,Xbox 360 [EU]
475,Psychonauts,PlayStation 2 [EU]
476,Psyvariar: Complete Edition,PlayStation 2 [EU]
477,Puppeteer,PlayStation 3 [EU]
478,Pure,Xbox 360 [EU]
479,Pursuit Force [NL],PlayStation Portable [EU]
480,Pursuit Force: Extreme Justice,PlayStation Portable [EU]
481,R-Type Final,PlayStation 2 [EU]
482,Radiant Silvergun,Xbox Games Store (X360) [EU]
483,Ratchet & Clank,PlayStation 4 [EU]
484,Ratchet & Clank,PlayStation 2 [EU]
485,Ratchet & Clank 2 [NL],PlayStation 2 [EU]
486,Ratchet & Clank 3 [DK][FI][NO][SE],PlayStation 2 [EU]
487,Ratchet & Clank: A Crack in Time,PlayStation 3 [EU]
488,Ratchet & Clank: All 4 One,PlayStation 3 [EU]
489,Ratchet & Clank: Nexus,PlayStation 3 [EU]
